Item,AvgPrice
Adobo,3.28
All Purpose Cleaner Spray,3.97
Aluminum Foil,5.60
American Cheese,4.04
Apple Juice,3.71
Apples,3.60
Avocados,0.45
Bacon,5.44
Banana,1.30
Bread Crumbs,1.22
Broccoli,1.16
Buffalo Wings Hot Sauce,3.97
Buttery Spread,3.43
Carrots,1.74
Cereal,4.44
Cheetos ,3.97
Cheetos Cheddar Popcorn,3.54
Chef Boyardee,1.34
Chicken Breasts,11.91
Chicken Patties Breaded,5.74
Cilantro,1.23
Coffee Pods,4.67
Cookies,4.97
Crackers,3.97
Crescent Roll,1.98
Deli Ham,5.97
Deli Turkey,5.97
Dino Chicken Nuggets,6.46
Dish Soap,4.36
Donuts,3.93
Eggos,2.87
Eggs,2.22
English Muffins,3.67
Fish,11.25
Flour,1.98
French Fries ,5.67
Frijoles,1.75
Frozen Meal,3.19
Garbanzos,3.18
Grape Tomato,1.47
Grapes,3.68
Ground Beef,7.50
Hamburger Buns,3.59
Hot Dog Buns,2.97
Hot Dogs,5.48
Ice Cream,4.87
Juice,3.34
Ketchup,3.28
Laundry Detergent Pods,14.97
Lemons,4.02
Lentils,1.46
Lettuce,3.50
Mashed Potatoes ,2.82
Mayo,3.38
Milk,2.86
Oil,6.26
Onion,1.08
Pancakes,4.92
Paper Plates,3.77
Paper Towels Viva,10.98
Pasta,1.84
Pasta Bowties,0.98
Pasta Sauce,2.88
Pastries,4.58
Pears,4.25
Pizza Bagels,7.44
Polly-O String Cheese,5.98
Pork,11.90
Potato Chips,2.00
Potatoes,3.67
Pretzels,4.37
Protein Bars,10.21
Rice,11.98
Salt,3.28
Sandwich Bread,3.84
Shredded Cheese,1.97
Soda,1.98
Spinach,2.18
Steak,12.68
Strawberries,2.93
Sugar,3.07
Syrup,3.67
Taquitos,6.12
Taters Potatoes,2.97
Toilet Paper,12.98
Tomato,0.68
Tortillas,3.67
Trash Bags,8.95
Tuna,1.72
Yellow Mustard,0.68
Yogurt,3.18
Ziploc Bags,4.25
